video_id,summary,category,keywords,creator_demographic,sentiment,tone,threatening_content,self_harm
7285324334934035745,"The video contains no visible content as it is entirely black throughout. The audio transcript includes a voice instructing viewers to 'Close your eyes now,' followed by a statement indicating someone is walking outside. There are no visual elements, characters, settings, or additional context provided.",Entertainment & Shows,"eyes, close, walking, outside",Unknown,Neutral,Neutral,No,
7374631394108181806,"The video appears to be a musical performance or a lyric-based presentation. The lyrics suggest themes of cleaning and tidying up, possibly metaphorical or literal, with a focus on making a space pristine. The phrase 'stand tall' implies confidence or pride in the task being performed. There is a playful tone suggested by the line about not mentioning the scrapes on the doorframe, indicating a lighthearted approach to imperfections. The overall mood seems to be one of self-assurance and perhaps a touch of humor regarding household chores.","Music, Singing, & Dancing","clean, house, clear, drawers, mop, floors, stand tall, doorframe, inches, scraped",Unknown,Neutral,Cheerful,No,
7273897683918621994,"The video appears to be a romantic or sentimental piece, likely a music video or a scene from a film. The audio transcript contains lyrics expressing deep affection and commitment between two individuals. The repeated phrase 'Honey, I see you looking at me' suggests a moment of connection and intimacy. The speaker declares readiness to go wherever the listener wants, emphasizing their love and uniqueness ('you're one of a kind'). The lyrics convey a strong emotional bond, with the speaker affirming that they are everything the listener needs ('I'm all you need'). The overall tone is tender and heartfelt, focusing on themes of love and devotion.","Music, Singing, & Dancing","love, romance, affection, commitment, unique, honey, smile, together, all you need","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Cheerful,No,
7374137745364602155,"The video features a person speaking directly to the camera in a dimly lit environment. The speaker discusses their preferences regarding dating, specifically mentioning that they are looking for someone who genuinely wants them, but clarifies that the person they are referring to is 'not my type.' The tone suggests a casual and personal reflection on relationships.",People & Blogs,"dating, preferences, relationship, type, personal","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Neutral,Neutral,No,
7368846954471640362,"The video discusses the issue of solidarity among marginalized groups, particularly focusing on the intersectionality of activism. It critiques individuals, specifically mentioning Dylan Mulvaney, who are perceived as prioritizing their own narrow interests over broader solidarity efforts. The speaker emphasizes the importance of recognizing the interconnectedness of various forms of oppression, using examples like trans rights and Palestinian liberation. The video also addresses class dynamics, highlighting how some influencers prioritize financial gain over supporting their followers and the broader activist movement. The tone is accusatory and calls for followers to hold influencers accountable for their actions and priorities.",Politics,"solidarity, intersectionality, Dylan Mulvaney, trans rights, Palestinian liberation, activism, class, influencers, working class, brand deals, fame, money","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Negative,Anger,No,
7362611852360174881,"The video appears to be a musical performance or a lyrical piece, featuring a person singing a song in Russian. The lyrics express themes of love, doubt, and emotional turmoil, suggesting a narrative of unrequited love or a relationship that has soured. The singer conveys feelings of disillusionment and sadness, indicating a melancholic tone. There are no visible visuals or background elements described, so the focus is entirely on the auditory experience of the song. The song's mood is reflective and introspective, with the singer expressing a sense of betrayal and emotional exhaustion.","Music, Singing, & Dancing","love, betrayal, doubt, emotional turmoil, Russian lyrics, song, performance","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Negative,Melancholic,No,
7388205937036725537,"The video appears to be a humorous or satirical piece, possibly involving a character attempting to activate their 'Supercell power.' The audio contains playful and exaggerated dialogue, suggesting a comedic tone. The phrase 'Mine's on the up block, but I can't see no ups' implies a lighthearted struggle or confusion. The mention of 'six-a-pussy-os' adds to the comedic effect, indicating a whimsical or absurd scenario. The overall context suggests a parody or joke rather than a serious narrative.",Comedy,"Supercell power, up block, six-a-pussy-os, humor, parody","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Cheerful,Neutral,
7349908267742743854,"The video discusses a political controversy involving former U.S. President Donald Trump. It critiques Trump's recent post on Truth Social, where he seemingly undermined his own legal defense regarding presidential immunity. The speaker argues that Trump's statement contradicts his previous claims and makes it difficult for his legal team to defend him against charges of election interference. The video references 'Jack Smith,' presumably a prosecutor, and mentions the financial aspects of Trump's legal situation, highlighting the contradiction between his claims of financial hardship and his boasts of wealth. The tone is critical and sarcastic, aiming to expose what is perceived as Trump's self-sabotaging behavior.",Politics,"Donald Trump, immunity, Jack Smith, prosecution, election interference, legal scholars, Joe Biden, legal team, bond, financial hardship, wealth, contradiction","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Negative,Sarcastic,No,
7108772250320473349,"The video provides a list of five unique activities for visitors traveling to the Greek island of Paros. It highlights various attractions, including dining in the traditional village of Lefkest, hiking to Prodromos via an old Byzantine road, enjoying a natural mud mask at Kalogero beach, exploring the secluded nudist-friendly beach of La Guelli, visiting the Paros Butterflies Nature Reserve, and driving by the picturesque church at Agios Fokas. The video concludes by asking viewers if they would like a continuation of the series and encourages them to follow for daily Greece travel tips.",Travel & Events,"Paros, Greek islands, travel tips, out-of-the-box activities, Lefkest, Prodromos, Kalogero beach, natural mud mask, La Guelli, nudist beach, Paros Butterflies Nature Reserve, Agios Fokas, picturesque church, daily Greece travel tips","Age Range: Unknown, Gender: Unknown, Geographic Location: Unknown",Positive,Enthusiastic,No,
7389277272009690401,"The video appears to be a static image with no visible action or movement. It contains text overlays that seem to be part of a news or informational piece, discussing topics like 'First Americans,' 'Indigenous,' 'since election,' and 'First Americans should have been assured since election.' The repeated audio phrase 'you you you' suggests a possible emphasis or call to action, but without further context, the meaning is unclear. The lack of visual content limits the ability to analyze tone, sentiment, or political leaning.","News, Politics","First Americans, Indigenous, election, assurance, political issues","Age: Unknown, Gender: Unknown, Geographic Location: Unknown",Neutral,Neutral,No,
